m,n,k,bk_us,bk_TF,bk_clk_med,bk_clk_min
128,2048,7168,11.1,339,2062,2062
128,24576,1536,9.5,1016,2062,2062
512,2048,7168,11.5,1312,2062,2062
512,7168,2048,10.0,1502,2062,2062
1024,1024,1024,6.4,335,2062,2062
1024,2048,8192,13.3,2584,2062,2062
1024,4096,4096,12.8,2682,2062,2062
1024,4096,16384,29.8,4619,2062,2062
1024,7168,2048,13.8,2182,2062,2062
1024,8192,2048,14.2,2424,2062,2062
1024,8192,8192,30.9,4452,2062,2062
1024,11008,4096,27.4,3370,2062,2062
1024,16384,4096,35.5,3873,2062,2062
1536,1536,1536,7.8,924,2062,2062
2048,2048,2048,9.8,1746,2062,2062
2048,2048,8192,17.6,3913,2062,2062
2048,4096,4096,20.1,3426,2062,2062
2048,4096,16384,50.9,5401,2062,2062
2048,8192,2048,23.0,2994,2062,2062
2048,8192,8192,54.5,5044,2062,2062
2048,11008,4096,40.2,4598,2062,2062
2048,16384,4096,62.5,4402,2062,2062
3072,3072,3072,17.9,3245,2062,2062
4096,2048,8192,28.0,4909,2062,2062
4096,4096,4096,33.3,4132,2062,2062
4096,4096,7168,46.9,5123,2062,2062
4096,4096,16384,98.6,5578,2062,2062
4096,8192,2048,41.4,3320,2062,2062
4096,8192,8192,102.5,5364,2062,2062
4096,11008,4096,77.5,4766,2062,2062
4096,16384,4096,121.2,4535,2062,2062
5120,5120,5120,54.9,4893,2062,2062
6144,6144,6144,90.4,5129,2062,2062
8192,2048,8192,52.8,5203,2062,2062
8192,4096,4096,61.5,4471,2062,2062
8192,4096,16384,180.9,6077,2062,2062
8192,8192,2048,79.8,3447,2062,2062
8192,8192,8192,194.7,5646,2062,2062
8192,11008,4096,161.7,4569,2062,2062
8192,16384,4096,229.1,4799,2062,2062
12288,12288,12288,573.6,6469,2062,2062
16384,2048,8192,101.3,5425,2062,2062
16384,4096,4096,117.8,4667,2062,2062
16384,4096,16384,349.2,6297,2062,2062
16384,8192,2048,150.5,3654,2062,2062
16384,8192,8192,366.0,6008,2062,2062
16384,11008,4096,308.6,4787,2062,2062
16384,16384,4096,448.2,4906,2062,2062
16384,16384,16384,1260.0,6981,2062,2017
16384,12288,8192,534.5,6171,2062,2017
16384,12288,12288,741.4,6673,2062,2062
16384,12288,16384,958.2,6885,2062,2062
16384,16384,6144,558.1,5910,2062,2062
32768,16384,32768,5270.0,6676,1545,1477
32768,32768,16384,5470.0,6432,1582,1582
32768,32768,32768,11538.0,6099,1477,1290
16384,16384,32768,2525.0,6967,1732,1665
32768,16384,32768,5236.0,6720,1605,1560
32768,32768,8192,2842.0,6190,2062,1732
32768,32768,6144,2205.0,5984,2062,1995
32768,8192,16384,1279.0,6877,2062,1927
32768,8192,32768,2564.0,6861,1800,1642
32768,12288,16384,1926.0,6851,2062,1800
32768,12288,32768,3968.0,6650,1747,1477
