m,n,k,plain_TF,graph_TF,benchkineto_TF,bk_over_graph,graph_over_plain,plain_us,graph_us,bk_us,bk_clk_min
128,2048,7168,102,181,339,1.873,1.775,36.7,20.7,11.1,2062
128,24576,1536,260,661,1016,1.537,2.542,37.2,14.6,9.5,2062
512,2048,7168,406,719,1312,1.825,1.771,37.0,20.9,11.5,2062
512,7168,2048,430,1020,1502,1.473,2.372,35.0,14.7,10.0,2062
1024,1024,1024,66,171,335,1.959,2.591,32.8,12.6,6.4,2062
1024,2048,8192,1009,1498,2584,1.725,1.485,34.0,22.9,13.3,2062
1024,4096,4096,1018,1828,2682,1.467,1.796,33.8,18.8,12.8,2062
1024,4096,16384,2708,2801,4619,1.649,1.034,50.8,49.1,29.8,2062
1024,7168,2048,838,1613,2182,1.353,1.925,35.9,18.6,13.8,2062
1024,8192,2048,1018,1817,2424,1.334,1.785,33.7,18.9,14.2,2062
1024,8192,8192,2935,3070,4452,1.450,1.046,46.8,44.8,30.9,2062
1024,11008,4096,2429,2616,3370,1.288,1.077,38.0,35.3,27.4,2062
1024,16384,4096,2678,2823,3873,1.372,1.054,51.3,48.7,35.5,2062
1536,1536,1536,212,506,924,1.826,2.387,34.2,14.3,7.8,2062
2048,2048,2048,481,1164,1746,1.500,2.420,35.7,14.8,9.8,2062
2048,2048,8192,2081,2532,3913,1.545,1.217,33.0,27.1,17.6,2062
2048,4096,4096,2142,2634,3426,1.301,1.230,32.1,26.1,20.1,2062
2048,4096,16384,3599,3723,5401,1.451,1.034,76.4,73.8,50.9,2062
2048,8192,2048,2043,2557,2994,1.171,1.252,33.6,26.9,23.0,2062
2048,8192,8192,3767,3915,5044,1.288,1.039,73.0,70.2,54.5,2062
2048,11008,4096,3384,3570,4598,1.288,1.055,54.6,51.7,40.2,2062
2048,16384,4096,3516,3673,4402,1.198,1.045,78.2,74.8,62.5,2062
3072,3072,3072,1764,2340,3245,1.387,1.327,32.9,24.8,17.9,2062
4096,2048,8192,3168,3458,4909,1.420,1.092,43.4,39.7,28.0,2062
4096,4096,4096,3133,3330,4132,1.241,1.063,43.9,41.3,33.3,2062
4096,4096,7168,3799,3935,5123,1.302,1.036,63.3,61.1,46.9,2062
4096,4096,16384,4429,4484,5578,1.244,1.012,124.1,122.6,98.6,2062
4096,8192,2048,2496,2669,3320,1.244,1.069,55.1,51.5,41.4,2062
4096,8192,8192,4534,4651,5364,1.153,1.026,121.3,118.2,102.5,2062
4096,11008,4096,4094,4246,4766,1.122,1.037,90.2,87.0,77.5,2062
4096,16384,4096,4035,4105,4535,1.105,1.017,136.2,133.9,121.2,2062
5120,5120,5120,3924,4160,4893,1.176,1.060,68.4,64.5,54.9,2062
6144,6144,6144,4440,4497,5129,1.141,1.013,104.5,103.1,90.4,2062
8192,2048,8192,3998,4087,5203,1.273,1.022,68.8,67.3,52.8,2062
8192,4096,4096,3782,3883,4471,1.151,1.027,72.7,70.8,61.5,2062
8192,4096,16384,5324,5322,6077,1.142,1.000,206.5,206.6,180.9,2062
8192,8192,2048,3038,3056,3447,1.128,1.006,90.5,90.0,79.8,2062
8192,8192,8192,5168,5199,5646,1.086,1.006,212.8,211.5,194.7,2062
8192,11008,4096,4220,4254,4569,1.074,1.008,175.0,173.7,161.7,2062
8192,16384,4096,4559,4573,4799,1.049,1.003,241.2,240.5,229.1,2062
12288,12288,12288,6193,5751,6469,1.125,0.929,599.2,645.3,573.6,2062
16384,2048,8192,4270,4262,5425,1.273,0.998,128.8,129.0,101.3,2062
16384,4096,4096,4265,4271,4667,1.093,1.001,128.9,128.7,117.8,2062
16384,4096,16384,5796,5696,6297,1.106,0.983,379.4,386.1,349.2,2062
16384,8192,2048,3396,3424,3654,1.067,1.008,161.9,160.6,150.5,2062
16384,8192,8192,5734,5714,6008,1.051,0.997,383.5,384.8,366.0,2062
16384,11008,4096,4572,4596,4787,1.042,1.005,323.1,321.5,308.6,2062
16384,16384,4096,4765,4769,4906,1.029,1.001,461.5,461.1,448.2,2062
16384,16384,16384,6530,6554,6981,1.065,1.004,1347.1,1342.2,1260.0,2017
16384,12288,8192,5945,5881,6171,1.049,0.989,554.9,560.9,534.5,2017
16384,12288,12288,6411,5804,6673,1.150,0.905,771.8,852.5,741.4,2062
16384,12288,16384,6341,5960,6885,1.155,0.940,1040.4,1106.9,958.2,2062
16384,16384,6144,5751,5735,5910,1.031,0.997,573.5,575.2,558.1,2062
32768,16384,32768,5877,5858,6720,1.147,0.997,5986.9,6006.6,5236.0,1560
32768,32768,16384,5819,5825,6432,1.104,1.001,6047.0,6040.1,5470.0,1582
32768,32768,32768,5846,5721,6099,1.066,0.979,12037.2,12299.9,11538.0,1290
16384,16384,32768,6080,6305,6967,1.105,1.037,2893.6,2790.1,2525.0,1665
32768,32768,8192,5605,5596,6190,1.106,0.998,3138.8,3143.5,2842.0,1732
32768,32768,6144,5766,5308,5984,1.127,0.921,2288.1,2485.9,2205.0,1995
32768,8192,16384,6602,6593,6877,1.043,0.999,1332.3,1334.2,1279.0,1927
32768,8192,32768,6047,6210,6861,1.105,1.027,2909.3,2832.7,2564.0,1642
32768,12288,16384,6189,5985,6851,1.145,0.967,2132.0,2204.5,1926.0,1800
32768,12288,32768,5948,5938,6650,1.120,0.998,4436.6,4444.3,3968.0,1477
