m,n,k,plain_us,plain_TF,graph_us,graph_TF,graph_speedup(plain/graph),plain_clk,graph_clk
128,2048,7168,36.7,102,20.7,181,1.770,nan,nan
128,24576,1536,37.2,260,14.6,661,2.542,nan,nan
512,2048,7168,37.0,406,20.9,719,1.772,nan,2062
512,7168,2048,35.0,430,14.7,1020,2.375,nan,nan
1024,1024,1024,32.8,66,12.6,171,2.610,nan,nan
1024,2048,8192,34.0,1009,22.9,1498,1.484,nan,nan
1024,4096,4096,33.8,1018,18.8,1828,1.797,nan,nan
1024,4096,16384,50.8,2708,49.1,2801,1.034,nan,nan
1024,7168,2048,35.9,838,18.6,1613,1.925,nan,nan
1024,8192,2048,33.7,1018,18.9,1817,1.784,nan,nan
1024,8192,8192,46.8,2935,44.8,3070,1.046,nan,nan
1024,11008,4096,38.0,2429,35.3,2616,1.077,nan,nan
1024,16384,4096,51.3,2678,48.7,2823,1.054,2062,nan
1536,1536,1536,34.2,212,14.3,506,2.382,nan,nan
2048,2048,2048,35.7,481,14.8,1164,2.420,nan,nan
2048,2048,8192,33.0,2081,27.1,2532,1.217,nan,nan
2048,4096,4096,32.1,2142,26.1,2634,1.230,nan,nan
2048,4096,16384,76.4,3599,73.8,3723,1.035,nan,2062
2048,8192,2048,33.6,2043,26.9,2557,1.251,nan,nan
2048,8192,8192,73.0,3767,70.2,3915,1.039,nan,nan
2048,11008,4096,54.6,3384,51.7,3570,1.055,nan,2062
2048,16384,4096,78.2,3516,74.8,3673,1.045,nan,nan
3072,3072,3072,32.9,1764,24.8,2340,1.326,nan,nan
4096,2048,8192,43.4,3168,39.7,3458,1.092,nan,nan
4096,4096,4096,43.9,3133,41.3,3330,1.063,nan,nan
4096,4096,7168,63.3,3799,61.1,3935,1.036,nan,nan
4096,4096,16384,124.1,4429,122.6,4484,1.012,2062,nan
4096,8192,2048,55.1,2496,51.5,2669,1.069,nan,nan
4096,8192,8192,121.3,4534,118.2,4651,1.026,nan,2062
4096,11008,4096,90.2,4094,87.0,4246,1.037,nan,2062
4096,16384,4096,136.2,4035,133.9,4105,1.017,nan,nan
5120,5120,5120,68.4,3924,64.5,4160,1.060,nan,nan
6144,6144,6144,104.5,4440,103.1,4497,1.013,nan,nan
8192,2048,8192,68.8,3998,67.3,4087,1.022,nan,nan
8192,4096,4096,72.7,3782,70.8,3883,1.027,2062,nan
8192,4096,16384,206.5,5324,206.6,5322,0.999,2062,2062
8192,8192,2048,90.5,3038,90.0,3056,1.006,nan,nan
8192,8192,8192,212.8,5168,211.5,5199,1.006,2062,2062
8192,11008,4096,175.0,4220,173.7,4254,1.008,nan,nan
8192,16384,4096,241.2,4559,240.5,4573,1.003,nan,2062
12288,12288,12288,599.2,6193,645.3,5751,0.929,2062,2062
16384,2048,8192,128.8,4270,129.0,4262,0.998,2062,nan
16384,4096,4096,128.9,4265,128.7,4271,1.002,2062,nan
16384,4096,16384,379.4,5796,386.1,5696,0.983,2062,1965
16384,8192,2048,161.9,3396,160.6,3424,1.008,1965,nan
16384,8192,8192,383.5,5734,384.8,5714,0.997,2062,2062
16384,11008,4096,323.1,4572,321.5,4596,1.005,2062,2062
16384,16384,4096,461.5,4765,461.1,4769,1.001,2062,2062
16384,16384,16384,1347.1,6530,1342.2,6554,1.004,2062,2062
16384,12288,8192,554.9,5945,560.9,5881,0.989,1530,1530
16384,12288,12288,771.8,6411,852.5,5804,0.905,2062,2062
16384,12288,16384,1040.4,6341,1106.9,5960,0.940,2062,1695
16384,16384,6144,573.5,5751,575.2,5735,0.997,2062,2062
32768,16384,32768,5986.2,5878,6043.0,5822,0.991,1728,1335
32768,32768,16384,6047.0,5819,6040.1,5825,1.001,1372,1410
32768,32768,32768,12037.2,5846,12299.9,5721,0.979,1372,1335
16384,16384,32768,2893.6,6080,2790.1,6305,1.037,2062,1365
32768,16384,32768,5986.9,5877,6006.6,5858,0.997,1365,1365
32768,32768,8192,3138.8,5605,3143.5,5596,0.998,2062,1522
32768,32768,6144,2288.1,5766,2485.9,5308,0.920,2062,1590
32768,8192,16384,1332.3,6602,1334.2,6593,0.999,2062,1747
32768,8192,32768,2909.3,6047,2832.7,6210,1.027,2062,1372
32768,12288,16384,2132.0,6189,2204.5,5985,0.967,2062,1470
32768,12288,32768,4436.6,5948,4444.3,5938,0.998,2062,1380
