shape,group,label,method,num_tests,warmup,breather,rep,tflops,clk_min,clk_med,clk_max,n_clk_samples,kernel_ms
16384x16384x16384,A,bench_kineto,bench_kineto,10,0,flush8,0,6883,2062,2062.0,2062,254,1.387
16384x16384x16384,A,bench_kineto,bench_kineto,10,0,flush8,1,6861,2062,2062,2062,25,1.387
16384x16384x16384,A,bench_kineto,bench_kineto,10,0,flush8,2,6861,2062,2062,2062,25,1.387
16384x16384x16384,A,event(B),event,10,10,flush8,0,6543,2062,2062,2062,11,1.387
16384x16384x16384,A,event(B),event,10,10,flush8,1,6502,2062,2062.0,2062,12,1.387
16384x16384x16384,A,event(B),event,10,10,flush8,2,6507,1882,1882.0,1882,12,1.387
16384x16384x16384,A,graph,graph,10,10,flush8,0,6566,2062,2062.0,2062,12,1.387
16384x16384x16384,A,graph,graph,10,10,flush8,1,6520,2062,2062.0,2062,12,1.387
16384x16384x16384,A,graph,graph,10,10,flush8,2,6593,2062,2062.0,2062,12,1.387
16384x16384x16384,A,event+sync,event_sync,10,10,flush8,0,6698,1845,1845.0,1845,12,1.387
16384x16384x16384,A,event+sync,event_sync,10,10,flush8,1,6706,1845,1845.0,1845,12,1.387
16384x16384x16384,A,event+sync,event_sync,10,10,flush8,2,6703,2062,2062.0,2062,12,1.387
16384x16384x16384,B,nt=1,event,1,10,flush8,0,6719,2062,2062.0,2062,2,1.387
16384x16384x16384,B,nt=1,event,1,10,flush8,1,6616,2062,2062,2062,1,1.387
16384x16384x16384,B,nt=1,event,1,10,flush8,2,6657,1912,1912,1912,1,1.387
16384x16384x16384,B,nt=5,event,5,10,flush8,0,6664,1912,1912.0,1912,6,1.387
16384x16384x16384,B,nt=5,event,5,10,flush8,1,6689,1912,1912,1912,5,1.387
16384x16384x16384,B,nt=5,event,5,10,flush8,2,6639,2055,2055.0,2055,6,1.387
16384x16384x16384,B,nt=10,event,10,10,flush8,0,6633,2055,2055.0,2055,12,1.387
16384x16384x16384,B,nt=10,event,10,10,flush8,1,6689,2055,2055.0,2062,12,1.387
16384x16384x16384,B,nt=10,event,10,10,flush8,2,6674,2062,2062.0,2062,12,1.387
16384x16384x16384,B,nt=30,event,30,10,flush8,0,6690,2062,2062.0,2062,34,1.387
16384x16384x16384,B,nt=30,event,30,10,flush8,1,6647,2062,2062.0,2062,34,1.387
16384x16384x16384,B,nt=30,event,30,10,flush8,2,6684,2062,2062.0,2062,34,1.387
16384x16384x16384,C,br=none,event,10,10,none,0,6521,2062,2062.0,2062,6,1.387
16384x16384x16384,C,br=none,event,10,10,none,1,5940,2062,2062,2062,7,1.387
16384x16384x16384,C,br=none,event,10,10,none,2,5801,1755,1755.0,1755,8,1.387
16384x16384x16384,C,br=flush8,event,10,10,flush8,0,6303,1755,1755,1755,13,1.387
16384x16384x16384,C,br=flush8,event,10,10,flush8,1,6643,1867,1867,1867,11,1.387
16384x16384x16384,C,br=flush8,event,10,10,flush8,2,6649,1867,1867,1867,11,1.387
16384x16384x16384,C,br=flush32,event,10,10,flush32,0,6703,2062,2062.0,2062,26,1.387
16384x16384x16384,C,br=flush32,event,10,10,flush32,1,6706,2062,2062.0,2062,26,1.387
16384x16384x16384,C,br=flush32,event,10,10,flush32,2,6706,2062,2062,2062,27,1.387
16384x16384x16384,C,br=flushA,event,10,10,flushA,0,6705,2062,2062.0,2062,18,1.387
16384x16384x16384,C,br=flushA,event,10,10,flushA,1,6698,2062,2062,2062,19,1.387
16384x16384x16384,C,br=flushA,event,10,10,flushA,2,6704,2062,2062.0,2062,18,1.387
16384x16384x16384,C,br=sleep,event,10,10,sleep,0,6716,2062,2062,2062,13,1.387
16384x16384x16384,C,br=sleep,event,10,10,sleep,1,6713,2062,2062,2062,13,1.387
16384x16384x16384,C,br=sleep,event,10,10,sleep,2,6705,2062,2062,2062,13,1.387
16384x16384x16384,D,wu=2,event,10,2,flush8,0,6692,2062,2062.0,2062,12,1.387
16384x16384x16384,D,wu=2,event,10,2,flush8,1,6688,2062,2062,2062,11,1.387
16384x16384x16384,D,wu=2,event,10,2,flush8,2,6671,2062,2062,2062,11,1.387
16384x16384x16384,D,wu=10,event,10,10,flush8,0,6681,2010,2010,2010,11,1.387
16384x16384x16384,D,wu=10,event,10,10,flush8,1,6652,2010,2010,2010,11,1.387
16384x16384x16384,D,wu=10,event,10,10,flush8,2,6692,1912,1912,1912,11,1.387
16384x16384x16384,D,wu=30,event,10,30,flush8,0,6677,1912,2062.0,2062,12,1.387
16384x16384x16384,D,wu=30,event,10,30,flush8,1,6657,2055,2062.0,2062,12,1.387
16384x16384x16384,D,wu=30,event,10,30,flush8,2,6625,1957,2055,2055,11,1.387
16384x16384x16384,D,wu=60,event,10,60,flush8,0,6640,2062,2062.0,2062,12,1.387
16384x16384x16384,D,wu=60,event,10,60,flush8,1,6643,2010,2010.0,2010,12,1.387
16384x16384x16384,D,wu=60,event,10,60,flush8,2,6649,2032,2032.0,2032,12,1.387
16384x16384x16384,D,wu10+idle0.5,event,10,10,flush8,0,6579,2062,2062,2062,11,1.387
16384x16384x16384,D,wu10+idle0.5,event,10,10,flush8,1,6583,2062,2062.0,2062,12,1.387
16384x16384x16384,D,wu10+idle0.5,event,10,10,flush8,2,6566,2062,2062.0,2062,12,1.387
16384x16384x16384,E,graph+nt5+flush32,graph,5,10,flush32,0,6589,2062,2062.0,2062,14,1.387
16384x16384x16384,E,graph+nt5+flush32,graph,5,10,flush32,1,6579,2062,2062,2062,13,1.387
16384x16384x16384,E,graph+nt5+flush32,graph,5,10,flush32,2,6577,2062,2062,2062,13,1.387
16384x16384x16384,E,event+nt5+flushA,event,5,10,flushA,0,6573,2062,2062,2062,9,1.387
16384x16384x16384,E,event+nt5+flushA,event,5,10,flushA,1,6552,2062,2062.0,2062,10,1.387
16384x16384x16384,E,event+nt5+flushA,event,5,10,flushA,2,6704,2062,2062,2062,9,1.387
16384x16384x16384,E,event+nt1+sleep,event,1,10,sleep,0,6698,2062,2062,2062,1,1.387
16384x16384x16384,E,event+nt1+sleep,event,1,10,sleep,1,6719,2062,2062,2062,1,1.387
16384x16384x16384,E,event+nt1+sleep,event,1,10,sleep,2,6730,2062,2062,2062,1,1.387
16384x16384x32768,A,bench_kineto,bench_kineto,10,0,flush8,0,6932,1477,1477.0,2062,40,2.654
16384x16384x32768,A,bench_kineto,bench_kineto,10,0,flush8,1,6989,1477,1477,1665,39,2.654
16384x16384x32768,A,bench_kineto,bench_kineto,10,0,flush8,2,7108,1665,1665.0,1770,38,2.654
16384x16384x32768,A,event(B),event,10,10,flush8,0,6638,1770,1770.0,1770,18,2.654
16384x16384x32768,A,event(B),event,10,10,flush8,1,6599,1695,1695.0,1695,18,2.654
16384x16384x32768,A,event(B),event,10,10,flush8,2,6495,1650,1650.0,1695,18,2.654
16384x16384x32768,A,graph,graph,10,10,flush8,0,6738,2025,2025.0,2025,18,2.654
16384x16384x32768,A,graph,graph,10,10,flush8,1,6544,1755,1755,1755,19,2.654
16384x16384x32768,A,graph,graph,10,10,flush8,2,6598,1642,1642.0,1755,18,2.654
16384x16384x32768,A,event+sync,event_sync,10,10,flush8,0,6554,1642,1642.0,1642,18,2.654
16384x16384x32768,A,event+sync,event_sync,10,10,flush8,1,6601,1642,1642.0,1642,18,2.654
16384x16384x32768,A,event+sync,event_sync,10,10,flush8,2,6576,1657,1657.0,1657,18,2.654
16384x16384x32768,B,nt=1,event,1,10,flush8,0,6619,1657,1657.0,1657,2,2.654
16384x16384x32768,B,nt=1,event,1,10,flush8,1,6556,1740,1740.0,1740,2,2.654
16384x16384x32768,B,nt=1,event,1,10,flush8,2,6749,1740,1740.0,1740,2,2.654
16384x16384x32768,B,nt=5,event,5,10,flush8,0,6522,1695,1695,1695,9,2.654
16384x16384x32768,B,nt=5,event,5,10,flush8,1,6335,1695,1695,1695,9,2.654
16384x16384x32768,B,nt=5,event,5,10,flush8,2,6342,1537,1537.0,1537,10,2.654
16384x16384x32768,B,nt=10,event,10,10,flush8,0,6726,1537,1545,1545,19,2.654
16384x16384x32768,B,nt=10,event,10,10,flush8,1,6592,1545,1545,1642,19,2.654
16384x16384x32768,B,nt=10,event,10,10,flush8,2,6571,1642,1642.0,1642,18,2.654
16384x16384x32768,B,nt=30,event,30,10,flush8,0,6706,1642,1642.0,1732,54,2.654
16384x16384x32768,B,nt=30,event,30,10,flush8,1,6666,1695,1695.0,1732,54,2.654
16384x16384x32768,B,nt=30,event,30,10,flush8,2,6578,1642,1672,1672,55,2.654
16384x16384x32768,C,br=none,event,10,10,none,0,5985,1642,1642.0,1642,14,2.654
16384x16384x32768,C,br=none,event,10,10,none,1,5492,1642,1642,1642,15,2.654
16384x16384x32768,C,br=none,event,10,10,none,2,5585,1290,1290,1642,15,2.654
16384x16384x32768,C,br=flush8,event,10,10,flush8,0,6301,1290,1290.0,1537,20,2.654
16384x16384x32768,C,br=flush8,event,10,10,flush8,1,6603,1537,1537,1537,19,2.654
16384x16384x32768,C,br=flush8,event,10,10,flush8,2,6483,1657,1657,1657,19,2.654
16384x16384x32768,C,br=flush32,event,10,10,flush32,0,6895,1680,1680,1680,33,2.654
16384x16384x32768,C,br=flush32,event,10,10,flush32,1,6819,2062,2062,2062,33,2.654
16384x16384x32768,C,br=flush32,event,10,10,flush32,2,6814,2062,2062.0,2062,32,2.654
16384x16384x32768,C,br=flushA,event,10,10,flushA,0,6814,2062,2062,2062,29,2.654
16384x16384x32768,C,br=flushA,event,10,10,flushA,1,6806,2062,2062,2062,29,2.654
16384x16384x32768,C,br=flushA,event,10,10,flushA,2,6811,2062,2062.0,2062,30,2.654
16384x16384x32768,C,br=sleep,event,10,10,sleep,0,6836,2062,2062.0,2062,26,2.654
16384x16384x32768,C,br=sleep,event,10,10,sleep,1,6833,2062,2062.0,2062,26,2.654
